collection_id,patientID,StudyInstanceUID,SeriesInstanceUID,SOPInstanceUID,gcs_url,md5_hash
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.45.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3471.dcm,8f0c5ce150c03e9e627028dde42a5f20
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.47.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3475.dcm,c83c940b58d91b3bd50b205b31774b72
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.49.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3479.dcm,38df48fbad34072228ff8a38e56b1c7a
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.51.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3483.dcm,db7412fc9a12e835963ae4bdd1271d6b
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.53.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3487.dcm,c423e123fee3d8c6169dac0fa5013872
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.55.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3491.dcm,9ce888eae0624e80fe21df9091a86502
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.57.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3495.dcm,85b39c29143dcc8b9bb092a16f167eb7
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.59.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3499.dcm,a7cbb19ba05f937196202c79950692b7
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.61.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3503.dcm,02428d18847d713eb0d72909ed87855a
NLM-Visible-Human-Project,VHP-F,1.3.6.1.4.1.5962.1.2.2716.1672334394.26545,1.3.6.1.4.1.5962.1.3.2716.6.1672334394.26545,1.3.6.1.4.1.5962.1.1.2716.6.63.1672334394.26545,dac-vhm-radiological-fixed-dst/dac-vhm-dst/dst/Visible-Human/Female-Images/radiological/mri/pd/m_vf3507.dcm,dfdea2322be0a92dac80027a036888ab
